venue_code,venue_name,total_races,hit_count,hit_rate,recovery_rate,ai_hit_rate,ai_recovery_rate,lift_vs_ai_only
8,常滑,139,27,0.1942,0.4966,0.0144,0.0827,0.4139
6,浜名湖,137,41,0.2993,0.4176,0.0365,0.2445,0.1731
13,尼崎,179,31,0.1732,0.2931,0.0056,0.0453,0.2478
5,多摩川,95,26,0.2737,0.2875,0.0211,0.0937,0.1938
2,戸田,174,42,0.2414,0.2658,0.0172,0.0603,0.2055
19,下関,142,23,0.162,0.259,0.0211,0.6394,-0.3804
3,江戸川,168,31,0.1845,0.2553,0.0179,0.0768,0.1785
15,丸亀,68,13,0.1912,0.2447,0.0147,0.0471,0.1976
12,住之江,126,24,0.1905,0.2444,0.0159,0.0452,0.1992
23,唐津,136,14,0.1029,0.2271,0,0,0.2271
7,蒲郡,178,38,0.2135,0.2124,0.0225,0.0708,0.1416
11,びわこ,198,29,0.1465,0.1987,0.0152,0.0995,0.0992
10,三国,125,23,0.184,0.1909,0.04,0.1656,0.0253
21,芦屋,125,16,0.128,0.1584,0.016,0.1768,-0.0184
17,宮島,119,16,0.1345,0.1504,0,0,0.1504
14,鳴門,64,13,0.2031,0.1472,0.0156,0.1359,0.0113
1,桐生,66,12,0.1818,0.1248,0,0,0.1248
18,徳山,141,28,0.1986,0.1135,0.0426,0.1837,-0.0702
4,平和島,270,30,0.1111,0.1091,0.0148,0.0441,0.065
22,福岡,97,9,0.0928,0.0896,0,0,0.0896
20,若松,65,5,0.0769,0.0852,0.0154,0.0446,0.0406
16,児島,111,12,0.1081,0.0736,0.018,0.0928,-0.0192
24,大村,75,5,0.0667,0.0313,0.0133,0.0427,-0.0113
9,津,1,0,0,0,0,0,0
